Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term,Source
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,15YMF,2 year Fixed LTV 80 to 85%,,Offline,15.0,Variable,3.49%,4.2%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,15YMF,5 year Fixed LTV 75 to 80%,,Offline,15.0,Variable,2.77%,3.9%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,15YMF,5 year Fixed LTV 80 to 85%,,Offline,15.0,Variable,3.02%,3.2%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,15YMF,5 year Fixed LTV 75 to 80%,,Offline,15.0,Variable,3.44%,3.7%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,15YMF,5 year Fixed LTV 80 to 85%,,Offline,15.0,Variable,3.69%,3.6%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,20YMF,2 year Fixed LTV 80 to 85%,,Offline,20.0,Variable,3.49%,4.2%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,20YMF,5 year Fixed LTV 75 to 80%,,Offline,20.0,Variable,3.44%,3.7%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,20YMF,5 year Fixed LTV 80 to 85%,,Offline,20.0,Variable,3.69%,3.6%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,20YMF,2 year Fixed LTV 80 to 85%,,Offline,20.0,Variable,2.99%,4.2%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,20YMF,2 year Fixed LTV 80 to 85%,,Offline,20.0,Variable,3.49%,4.2%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,20YMF,5 year Fixed LTV 75 to 80%,,Offline,20.0,Variable,2.94%,3.5%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,20YMF,5 year Fixed LTV 80 to 85%,,Offline,20.0,Variable,3.19%,3.2%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,20YMF,5 year Fixed LTV 75 to 80%,,Offline,20.0,Variable,3.44%,3.7%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,20YMF,5 year Fixed LTV 80 to 85%,,Offline,20.0,Variable,3.69%,3.6%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,20YMF,2 year Fixed LTV 80 to 85%,,Offline,20.0,Variable,2.82%,4.2%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,20YMF,2 year Fixed LTV 80 to 85%,,Offline,20.0,Variable,3.49%,4.2%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,20YMF,5 year Fixed LTV 75 to 80%,,Offline,20.0,Variable,2.77%,3.9%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,20YMF,5 year Fixed LTV 80 to 85%,,Offline,20.0,Variable,3.02%,3.2%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,20YMF,5 year Fixed LTV 75 to 80%,,Offline,20.0,Variable,3.44%,3.7%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,20YMF,5 year Fixed LTV 80 to 85%,,Offline,20.0,Variable,3.69%,3.6%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,25YMF,2 year Fixed LTV 80 to 85%,,Offline,25.0,Variable,3.49%,4.2%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,25YMF,5 year Fixed LTV 75 to 80%,,Offline,25.0,Variable,3.44%,3.7%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,25YMF,5 year Fixed LTV 80 to 85%,,Offline,25.0,Variable,3.69%,3.6%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,25YMF,2 year Fixed LTV 80 to 85%,,Offline,25.0,Variable,2.99%,4.2%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,25YMF,2 year Fixed LTV 80 to 85%,,Offline,25.0,Variable,3.49%,4.2%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,25YMF,5 year Fixed LTV 75 to 80%,,Offline,25.0,Variable,2.94%,3.5%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,25YMF,5 year Fixed LTV 80 to 85%,,Offline,25.0,Variable,3.19%,3.2%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,25YMF,5 year Fixed LTV 75 to 80%,,Offline,25.0,Variable,3.44%,3.7%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,25YMF,5 year Fixed LTV 80 to 85%,,Offline,25.0,Variable,3.69%,3.6%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,25YMF,2 year Fixed LTV 80 to 85%,,Offline,25.0,Variable,2.82%,4.2%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,25YMF,2 year Fixed LTV 80 to 85%,,Offline,25.0,Variable,3.49%,4.2%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,25YMF,5 year Fixed LTV 75 to 80%,,Offline,25.0,Variable,2.77%,3.9%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,25YMF,5 year Fixed LTV 80 to 85%,,Offline,25.0,Variable,3.02%,3.2%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,25YMF,5 year Fixed LTV 75 to 80%,,Offline,25.0,Variable,3.44%,3.7%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,25YMF,5 year Fixed LTV 80 to 85%,,Offline,25.0,Variable,3.69%,3.6%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,30YMF,2 year Fixed LTV 80 to 85%,,Offline,30.0,Variable,3.49%,4.2%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,30YMF,5 year Fixed LTV 75 to 80%,,Offline,30.0,Variable,3.44%,3.7%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,30YMF,5 year Fixed LTV 80 to 85%,,Offline,30.0,Variable,3.69%,3.6%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,30YMF,2 year Fixed LTV 80 to 85%,,Offline,30.0,Variable,2.99%,4.2%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,30YMF,2 year Fixed LTV 80 to 85%,,Offline,30.0,Variable,3.49%,4.2%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,30YMF,5 year Fixed LTV 75 to 80%,,Offline,30.0,Variable,2.94%,3.5%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,30YMF,5 year Fixed LTV 80 to 85%,,Offline,30.0,Variable,3.19%,3.2%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,30YMF,5 year Fixed LTV 75 to 80%,,Offline,30.0,Variable,3.44%,3.7%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,30YMF,5 year Fixed LTV 80 to 85%,,Offline,30.0,Variable,3.69%,3.6%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,30YMF,2 year Fixed LTV 80 to 85%,,Offline,30.0,Variable,2.82%,4.2%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,30YMF,2 year Fixed LTV 80 to 85%,,Offline,30.0,Variable,3.49%,4.2%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,30YMF,5 year Fixed LTV 75 to 80%,,Offline,30.0,Variable,2.77%,3.9%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,30YMF,5 year Fixed LTV 80 to 85%,,Offline,30.0,Variable,3.02%,3.2%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,30YMF,5 year Fixed LTV 75 to 80%,,Offline,30.0,Variable,3.44%,3.7%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Lloyds Bank,LLOY,GBP,Bank,Mortgages,Mortgages,30YMF,5 year Fixed LTV 80 to 85%,,Offline,30.0,Variable,3.69%,3.6%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,10YMV,2 year Fixed,,Offline,10.0,Variable,1.94%,3.7%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,10YMV,3 year Fixed,,Offline,10.0,Variable,1.94%,3.4%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3.0,Bank Website
 2018-06-05,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,10YMV,2 year Fixed,,Offline,10.0,Variable,1.94%,3.4%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,10YMV,3 year Fixed,,Offline,10.0,Variable,1.94%,3.1%,216000,20%,New Purchase,Primary Residence,Principal + Interest,3.0,Bank Website
 2018-06-05,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,10YMV,2 year Fixed,,Offline,10.0,Variable,1.94%,3.4%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,10YMV,3 year Fixed,,Offline,10.0,Variable,1.94%,3.1%,360000,20%,New Purchase,Primary Residence,Principal + Interest,3.0,Bank Website
 2018-06-05,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,15YMV,2 year Fixed,,Offline,15.0,Variable,1.94%,3.8%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,15YMV,3 year Fixed,,Offline,15.0,Variable,1.94%,3.6%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3.0,Bank Website
 2018-06-05,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,15YMV,2 year Fixed,,Offline,15.0,Variable,1.94%,3.6%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,15YMV,3 year Fixed,,Offline,15.0,Variable,1.94%,3.4%,216000,20%,New Purchase,Primary Residence,Principal + Interest,3.0,Bank Website
 2018-06-05,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,15YMV,2 year Fixed,,Offline,15.0,Variable,1.94%,3.6%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,15YMV,3 year Fixed,,Offline,15.0,Variable,1.94%,3.3%,360000,20%,New Purchase,Primary Residence,Principal + Interest,3.0,Bank Website
 2018-06-05,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,25YMV,2 year Fixed,,Offline,25.0,Variable,1.94%,3.9%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,25YMV,3 year Fixed,,Offline,25.0,Variable,1.94%,3.7%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3.0,Bank Website
 2018-06-05,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,25YMV,2 year Fixed,,Offline,25.0,Variable,1.94%,3.8%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,25YMV,3 year Fixed,,Offline,25.0,Variable,1.94%,3.6%,216000,20%,New Purchase,Primary Residence,Principal + Interest,3.0,Bank Website
 2018-06-05,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,25YMV,2 year Fixed,,Offline,25.0,Variable,1.94%,3.7%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,25YMV,3 year Fixed,,Offline,25.0,Variable,1.94%,3.6%,360000,20%,New Purchase,Primary Residence,Principal + Interest,3.0,Bank Website
 2018-06-05,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,30YMV,2 year Fixed,,Offline,30.0,Variable,1.94%,3.9%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,30YMV,3 year Fixed,,Offline,30.0,Variable,1.94%,3.8%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3.0,Bank Website
 2018-06-05,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,30YMV,2 year Fixed,,Offline,30.0,Variable,1.94%,3.8%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,30YMV,3 year Fixed,,Offline,30.0,Variable,1.94%,3.7%,216000,20%,New Purchase,Primary Residence,Principal + Interest,3.0,Bank Website
 2018-06-05,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,30YMV,2 year Fixed,,Offline,30.0,Variable,1.94%,3.8%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Metro Bank,MTRO,GBP,Bank,Mortgages,Mortgages,30YMV,3 year Fixed,,Offline,30.0,Variable,1.94%,3.6%,360000,20%,New Purchase,Primary Residence,Principal + Interest,3.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,10YMF,2 year fixed rate,,Offline,10.0,Variable,2.94%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,10YMF,5 year fixed rate,,Offline,10.0,Variable,3.38%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,10YMF,2 year fixed rate,,Offline,10.0,Variable,1.87%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,15YMF,2 year fixed rate,,Offline,15.0,Variable,2.94%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,15YMF,5 year fixed rate,,Offline,15.0,Variable,3.38%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,15YMF,2 year fixed rate,,Offline,15.0,Variable,1.87%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,20YMF,2 year fixed rate,,Offline,20.0,Variable,2.94%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,20YMF,5 year fixed rate,,Offline,20.0,Variable,3.38%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,20YMF,2 year fixed rate,,Offline,20.0,Variable,1.87%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,10YMF,2 year fixed rate,,Offline,10.0,Variable,2.94%,,216000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,10YMF,5 year fixed rate,,Offline,10.0,Variable,3.38%,,216000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,10YMF,2 year fixed rate,,Offline,10.0,Variable,1.87%,,216000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,15YMF,2 year fixed rate,,Offline,15.0,Variable,2.94%,,216000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,15YMF,5 year fixed rate,,Offline,15.0,Variable,3.38%,,216000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,15YMF,2 year fixed rate,,Offline,15.0,Variable,1.87%,,216000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,20YMF,2 year fixed rate,,Offline,20.0,Variable,2.94%,,216000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,20YMF,5 year fixed rate,,Offline,20.0,Variable,3.38%,,216000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,20YMF,2 year fixed rate,,Offline,20.0,Variable,1.87%,,216000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,30YMF,2 year fixed rate,,Offline,30.0,Variable,2.94%,,216000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,30YMF,5 year fixed rate,,Offline,30.0,Variable,3.38%,,216000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,30YMF,2 year fixed rate,,Offline,30.0,Variable,1.87%,,216000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,10YMF,2 year fixed rate,,Offline,10.0,Variable,2.94%,,360000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,10YMF,5 year fixed rate,,Offline,10.0,Variable,3.38%,,360000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,10YMF,2 year fixed rate,,Offline,10.0,Variable,1.87%,,360000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,15YMF,2 year fixed rate,,Offline,15.0,Variable,2.94%,,360000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,15YMF,5 year fixed rate,,Offline,15.0,Variable,3.38%,,360000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,15YMF,2 year fixed rate,,Offline,15.0,Variable,1.87%,,360000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,20YMF,2 year fixed rate,,Offline,20.0,Variable,2.94%,,360000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,20YMF,5 year fixed rate,,Offline,20.0,Variable,3.38%,,360000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,20YMF,2 year fixed rate,,Offline,20.0,Variable,1.87%,,360000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,30YMF,2 year fixed rate,,Offline,30.0,Variable,2.94%,,360000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,30YMF,5 year fixed rate,,Offline,30.0,Variable,3.38%,,360000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,NatWest,NWBD,GBP,Bank,Mortgages,Mortgages,30YMF,2 year fixed rate,,Offline,30.0,Variable,1.87%,,360000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Mortgages,Mortgages,15YMF,2 year fixed rate,,Offline,15.0,Variable,2.94%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Mortgages,Mortgages,15YMF,5 year fixed rate,,Offline,15.0,Variable,3.38%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Mortgages,Mortgages,15YMF,2 year fixed rate,,Offline,15.0,Variable,1.87%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Mortgages,Mortgages,20YMF,2 year fixed rate,,Offline,20.0,Variable,2.94%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-06-05,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Mortgages,Mortgages,20YMF,5 year fixed rate,,Offline,20.0,Variable,3.38%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,5.0,Bank Website
 2018-06-05,UK,London,Royal Bank Of Scotland,RBS,GBP,Bank,Mortgages,Mortgages,20YMF,2 year fixed rate,,Offline,20.0,Variable,1.87%,,72000,20%,New Purchase,Primary Residence,Principal + Interest,2.0,Bank Website
