Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Balance,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Signature Advantage Brokerage,,"10,000","24,999.99",Offline,,Variable,,0.03%
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Signature Advantage Brokerage,,"25,000","49,999.99",Offline,,Variable,,0.05%
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Signature Advantage Brokerage,,"50,000","99,999.99",Offline,,Variable,,0.05%
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Signature Advantage Brokerage,,"100,000","249,999.99",Offline,,Variable,,0.05%
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Signature Advantage Brokerage,,"250,000","499,999.99",Offline,,Variable,,0.05%
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Signature Advantage Brokerage,,"500,000","999,999.99",Offline,,Variable,,0.05%
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Signature Advantage Brokerage,,"1,000,000","1,999,999.99",Offline,,Variable,,0.05%
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Signature Advantage Brokerage,,"2,000,000",,Offline,,Variable,,0.05%
 2018-03-19,US,New York,SYNCHRONY,SYF,USD,Bank,Deposits,CD,6MCDF,CD_6-month,,"2,000",,Online,6.0,Fixed,,1.00%
 2018-03-19,US,New York,SYNCHRONY,SYF,USD,Bank,Deposits,CD,12MCDF,CD_12-month,,"2,000",,Online,12.0,Fixed,,1.95%
 2018-03-19,US,New York,SYNCHRONY,SYF,USD,Bank,Deposits,CD,36MCDF,CD_36-month,,"2,000",,Online,36.0,Fixed,,2.05%
 2018-03-19,US,New York,SYNCHRONY,SYF,USD,Bank,Deposits,Savings,_MSBV,Money Market Rates and Terms,,,"4,999",Online,,Variable,,1.05% 
 2018-03-19,US,New York,SYNCHRONY,SYF,USD,Bank,Deposits,Savings,_MSBV,Money Market Rates and Terms,,"5,000","24,999",Online,,Variable,,1.05% 
 2018-03-19,US,New York,SYNCHRONY,SYF,USD,Bank,Deposits,Savings,_MSBV,Money Market Rates and Terms,,"25,000",,Online,,Variable,,1.05% 
 2018-03-19,US,New York,SYNCHRONY,SYF,USD,Bank,Deposits,Savings,_MSBV,HYS Rates and Terms,,,"4,999",Online,,Variable,,1.55% 
 2018-03-19,US,New York,SYNCHRONY,SYF,USD,Bank,Deposits,Savings,_MSBV,HYS Rates and Terms,,"5,000","24,999",Online,,Variable,,1.55% 
 2018-03-19,US,New York,SYNCHRONY,SYF,USD,Bank,Deposits,Savings,_MSBV,HYS Rates and Terms,,"25,000",,Online,,Variable,,1.55% 
 2018-03-19,US,New York,WELLS FARGO,WFC,USD,Bank,Deposits,Checking,_MCCV,Wells Fargo Everyday Checking,,,,Offline,,Variable,,
 2018-03-19,US,New York,WELLS FARGO,WFC,USD,Bank,Deposits,Savings,_MSBV,Wells Fargo Way2Save,,0,,Offline,,Variable,0.01%,0.01%
 2018-03-19,US,New York,WELLS FARGO,WFC,USD,Bank,Deposits,Savings,_MSBV,Platinum Savings - Standard Interest,,0,"99,999.99",Offline,,Variable,0.03%,0.03%
 2018-03-19,US,New York,WELLS FARGO,WFC,USD,Bank,Deposits,Savings,_MSBV,Platinum Savings - Standard Interest,,"100,000",,Offline,,Variable,0.05%,0.05%
 2018-03-19,US,New York,WELLS FARGO,WFC,USD,Bank,Deposits,CD,6MCDF,CD,,0,"4,999.99",Offline,6.0,Fixed,0.05%,0.05%
 2018-03-19,US,New York,WELLS FARGO,WFC,USD,Bank,Deposits,CD,6MCDF,CD,,"5,000","9,999.99",Offline,6.0,Fixed,0.05%,0.05%
 2018-03-19,US,New York,WELLS FARGO,WFC,USD,Bank,Deposits,CD,6MCDF,CD,,"10,000","24,999.99",Offline,6.0,Fixed,0.05%,0.05%
 2018-03-19,US,New York,WELLS FARGO,WFC,USD,Bank,Deposits,CD,6MCDF,CD,,"25,000","49,999.99",Offline,6.0,Fixed,0.05%,0.05%
 2018-03-19,US,New York,WELLS FARGO,WFC,USD,Bank,Deposits,CD,6MCDF,CD,,"50,000","99,999.99",Offline,6.0,Fixed,0.05%,0.05%
 2018-03-19,US,New York,WELLS FARGO,WFC,USD,Bank,Deposits,CD,6MCDF,CD,,"100,000",,Offline,6.0,Fixed,0.05%,0.05%
 2018-03-19,US,New York,WELLS FARGO,WFC,USD,Bank,Deposits,CD,12MCDF,CD,,0,"4,999.99",Offline,12.0,Fixed,0.10%,0.10%
 2018-03-19,US,New York,WELLS FARGO,WFC,USD,Bank,Deposits,CD,12MCDF,CD,,"5,000","9,999.99",Offline,12.0,Fixed,0.10%,0.10%
 2018-03-19,US,New York,WELLS FARGO,WFC,USD,Bank,Deposits,CD,12MCDF,CD,,"10,000","24,999.99",Offline,12.0,Fixed,0.10%,0.10%
 2018-03-19,US,New York,WELLS FARGO,WFC,USD,Bank,Deposits,CD,12MCDF,CD,,"25,000","49,999.99",Offline,12.0,Fixed,0.10%,0.10%
 2018-03-19,US,New York,WELLS FARGO,WFC,USD,Bank,Deposits,CD,12MCDF,CD,,"50,000","99,999.99",Offline,12.0,Fixed,0.10%,0.10%
 2018-03-19,US,New York,WELLS FARGO,WFC,USD,Bank,Deposits,CD,12MCDF,CD,,"100,000",,Offline,12.0,Fixed,0.10%,0.10%
